id_1,id_2,weight
SC,ICS,12
SC,SPAA,5
SC,PADS,4
SC,PPoPP,6
SC,PACT,7
MM,NOSSDAV,4
MM,ETRA,5
MM,IH&MMSec,3
MM,JCDL,6
MM,ICMI-MLMI,4
MM,APGV,5
MM,IR,5
MM,VRST,4
IH&MMSec,UbiComp,2
IH&MMSec,CODASPY,4
IH&MMSec,CCS,5
IH&MMSec,ASIA CCS,5
IH&MMSec,CSCW,1
ISMM,PACT,3
ISMM,SOSP,3
ISMM,CGO,6
ISMM,VEE,6
ISMM,PLDI,6
ISMM,PEPM,5
I3D,HPG,12
I3D,SCA,11
I3D,SIGGRAPH,11
I3D,Web3D,9
I3D,NPAR,11
IDEAS,CIKM,8
IDEAS,MOD,11
ISCA,SLIP,6
ISCA,Nanoarch,3
ISCA,ISLPED,6
ISCA,MICRO,8
CF,ICAC,5
CF,EuroSys,6
CF,HPDC,7
CF,SOSP,5
HPDC,ICAC,7
HPDC,Middleware,8
HPDC,DEBS,11
HPDC,SOSP,6
HPDC,EuroSys,8
CHI,TEI,10
CHI,C&C,8
CHI,EICS,10
SODA,EC,2
SODA,SAC,2
SODA,METRICS,1
SODA,STOC,9
SODA,SPAA,5
SODA,CCS,1
SODA,ASIA CCS,1
ASPLOS,ICAC,5
ASPLOS,EuroSys,6
ASPLOS,SOSP,6
ASPLOS,VEE,6
ESEM,ICPE,4
ESEM,ICSE,6
ESEM,TEI,5
ESEM,C&C,5
ESEM,PLoP,4
ESEM,ACM SE,4
WWW,DOC,4
WWW,WSDM,13
WWW,HT,10
WWW,DocEng,5
IMC,CoNEXT,9
IMC,COMM,8
IMC,MobiHoc,6
IMC,ICE,7
IMC,MobiCom,6
IMC,NOSSDAV,6
IMC,MSWiM,6
IMC,ANCS,7
CSCW,DOC,4
CSCW,WebSci,5
CSCW,GROUP,10
CSCW,UbiComp,3
CSCW,KDD,1
CSCW,CPR,2
CSCW,Web3D,1
SLIP,Nanoarch,5
SLIP,ISPD,9
SPLASH,GPCE,10
SPLASH,UIST,2
SPLASH,FSE,6
SPLASH,IUI,1
SPLASH,EICS,4
SPLASH,AUS-CE,2
SPLASH,PLoP,6
ICS,PACT,9
ICS,PADS,6
HPG,SCA,10
HPG,SIGGRAPH,10
HPG,Web3D,7
HPG,NPAR,10
SPAA,METRICS,2
SPAA,STOC,5
SPAA,PPoPP,7
JCDL,IR,11
SBCCI,ICCAD,10
SBCCI,GLSVLSI,11
SBCCI,ASPDAC,8
SBCCI,MICRO,3
SBCCI,FPGA,10
GPCE,Middleware,2
GPCE,PLoP,6
WebSci,Web3D,1
WebSci,GROUP,5
WebSci,UbiComp,5
WebSci,KDD,5
WebSci,DOC,4
WebSci,EC,3
UbiComp,EC,3
UbiComp,CPSWeek,4
UbiComp,MobiCom,3
UbiComp,SenSys,4
DOC,GROUP,4
DOC,Web3D,1
DOC,HT,5
DOC,DocEng,5
SenSys,MobiCom,12
SenSys,CPSWeek,11
FPGA,Nanoarch,7
FPGA,ICCAD,9
FPGA,GLSVLSI,10
KDD,BCB,5
KDD,GROUP,2
KDD,GECCO,2
KDD,Web3D,1
KDD,IR,8
CPR,UCCS,8
CPR,RecSys,3
CPR,ITE,2
VEE,ICAC,5
VEE,SOSP,8
VEE,CGO,5
VEE,PACT,4
VEE,EuroSys,7
CODASPY,CCS,9
CODASPY,SACMAT,9
ASIA CCS,CCS,13
ASIA CCS,STOC,1
DocEng,Web3D,1
DocEng,HT,6
WSDM,HT,8
WSDM,RecSys,10
WSDM,GECCO,2
WSDM,VALUETOOLS,1
ICFP,POPL,10
ICFP,PLDI,9
ICFP,STOC,1
ICFP,PEPM,10
ICER,ITiCSE,9
ICER,AUS-CE,7
ICER,ITE,7
ICER,CSE,10
POPL,ASE,4
POPL,FSE,4
POPL,STOC,1
